index,ordernumber,employeeid,employeename,employee_job_title,orderdate,ordertype,customertype,custid,customername,prodcategory,prodnumber,prod_name,quantity,price,ordertotal
0,1102935,900019019,Alexandra Kundt,Senior Sales Associate,2/9/2019,Retail,Individual,1574,Skipton Fealty,Olive Oil,OO206,Chili Extra Virgin Olive Oil 2pk,3,$45.00 ,135.0
1,1102935,900019019,Alexandra Kundt,Senior Sales Associate,2/9/2019,Retail,Individual,1574,Skipton Fealty,Olive Oil,OO206,Chili Extra Virgin Olive Oil 2pk,3,$45.00 ,135.0
2,1102976,900019019,Alexandra Kundt,Senior Sales Associate,2/15/2019,Retail,Individual,1809,Lanni D'Ambrogi,Gift Basket,GB301,Scented Olive Oil Candle Gift Basket,1,$19.50 ,19.5
3,1102976,900019019,Alexandra Kundt,Senior Sales Associate,2/15/2019,Retail,Individual,1809,Lanni D'Ambrogi,Gift Basket,GB301,Scented Olive Oil Candle Gift Basket,1,$19.50 ,19.5
4,1102988,900019019,Alexandra Kundt,Senior Sales Associate,2/16/2019,Retail,Individual,2253,Far Pow,Olive Oil,OO302,Chili Extra Virgin Olive Oil,4,$26.00 ,104.0
5,1103012,900019019,Alexandra Kundt,Senior Sales Associate,2/19/2019,Wholesale,Business,4083,Swift Inc,Olive Oil,OO125,Garlic Extra Virgin Olive Oil 12pk,4,$234.00 ,936.0
6,1103031,900019019,Alexandra Kundt,Senior Sales Associate,2/22/2019,Retail,Individual,2678,Carmine Priestnall,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,3,$234.00 ,702.0
7,1103106,900019019,Alexandra Kundt,Senior Sales Associate,3/9/2019,Retail,Individual,1913,Tann Angear,Bath products,BP502,Vanilla and Olive Oil Candle,2,$6.99 ,13.98
8,1103113,900019019,Alexandra Kundt,Senior Sales Associate,3/11/2019,Wholesale,Business,4090,Hilll Group,Olive Oil,OO206,Chili Extra Virgin Olive Oil 2pk,5,$45.00 ,225.0
9,1103172,900019019,Alexandra Kundt,Senior Sales Associate,3/18/2019,Retail,Individual,3896,Devlin Nock,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,4,$45.00 ,180.0
10,1103175,900019019,Alexandra Kundt,Senior Sales Associate,3/19/2019,Retail,Individual,3761,Jerrilyn Doubrava,Olive Oil,OO307,Rosemary Extra Virgin Olive Oil,3,$26.00 ,78.0
11,1103240,900019019,Alexandra Kundt,Senior Sales Associate,3/29/2019,Retail,Individual,1574,Skipton Fealty,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,2,$45.00 ,90.0
12,1103240,900019019,Alexandra Kundte,Senior Sales Associate,3/29/2019,Retail,Individual,1574,Skipton Fealty,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,2,$45.00 ,90.0
13,1103282,900019019,Alexandra Kundt,Senior Sales Associate,4/3/2019,Retail,Individual,3896,Devlin Nock,Bath products,BP105,Lavender and Olive Oil Lotion,4,$9.99 ,39.96
14,1103312,900019019,Alexandra Kundt,Senior Sales Associate,4/7/2019,Retail,Individual,3186,Granny Matevosian,Bath products,BP303,Mandarin and Olive Oil Bar Soap,1,$5.99 ,5.99
